date,equity,daily_return,drawdown,num_positions
2023-05-02,101079.13198649204,-0.003179,-0.010159,1
2023-05-03,101015.13174235141,-0.000633,-0.010786,1
2023-05-04,101044.73196207797,0.000293,-0.010496,1
2023-05-05,101095.13174235141,0.000499,-0.010002,1
2023-05-08,100766.6620109061,-0.003249,-0.013219,0
2023-05-09,100766.6620109061,0.0,-0.013219,0
2023-05-10,100766.6620109061,0.0,-0.013219,0
2023-05-11,100766.6620109061,0.0,-0.013219,0
2023-05-12,100766.6620109061,0.0,-0.013219,0
2023-05-15,100766.6620109061,0.0,-0.013219,0
2023-05-16,100766.6620109061,0.0,-0.013219,0
2023-05-17,100766.6620109061,0.0,-0.013219,0
2023-05-18,100766.6620109061,0.0,-0.013219,0
2023-05-19,100766.6620109061,0.0,-0.013219,0
2023-05-22,100766.6620109061,0.0,-0.013219,0
2023-05-23,100766.6620109061,0.0,-0.013219,0
2023-05-24,100766.6620109061,0.0,-0.013219,0
2023-05-25,100766.6620109061,0.0,-0.013219,0
2023-05-26,100766.6620109061,0.0,-0.013219,0
2023-05-30,100766.6620109061,0.0,-0.013219,0
2023-05-31,100766.6620109061,0.0,-0.013219,0
2023-06-01,100766.6620109061,0.0,-0.013219,0
2023-06-02,100766.6620109061,0.0,-0.013219,0
2023-06-05,100766.6620109061,0.0,-0.013219,0
2023-06-06,100766.6620109061,0.0,-0.013219,0
2023-06-07,100766.6620109061,0.0,-0.013219,0
2023-06-08,100766.6620109061,0.0,-0.013219,0
2023-06-09,100766.6620109061,0.0,-0.013219,0
2023-06-12,100766.6620109061,0.0,-0.013219,0
2023-06-13,100766.6620109061,0.0,-0.013219,0
2023-06-14,100766.6620109061,0.0,-0.013219,0
2023-06-15,100766.6620109061,0.0,-0.013219,0
2023-06-16,100766.6620109061,0.0,-0.013219,0
2023-06-20,100766.6620109061,0.0,-0.013219,0
2023-06-21,100766.6620109061,0.0,-0.013219,0
2023-06-22,100766.6620109061,0.0,-0.013219,0
2023-06-23,100766.6620109061,0.0,-0.013219,0
2023-06-26,100766.6620109061,0.0,-0.013219,0
2023-06-27,100766.6620109061,0.0,-0.013219,0
2023-06-28,100766.6620109061,0.0,-0.013219,0
2023-06-29,100766.6620109061,0.0,-0.013219,0
2023-06-30,100766.6620109061,0.0,-0.013219,0
2023-07-03,100766.6620109061,0.0,-0.013219,0
2023-07-05,100766.6620109061,0.0,-0.013219,0
